brand,price,ram_gb,storage_gb,storage_type,screen_size,os,processor_brand,processor_series,generation
ASUS,65990,16,512.0,SSD,35.56,Windows 11,other,snapdragon,0
HP,34490,8,512.0,SSD,35.56,Windows 11,amd,ryzen 3,0
ASUS,37990,8,512.0,SSD,35.56,Windows 11,intel,i3,13
ASUS,39990,16,512.0,SSD,39.62,Windows 11,intel,i3,13
ASUS,74768,16,512.0,SSD,35.56,Windows 11,intel,i5,13
ASUS,74990,16,512.0,SSD,40.64,Windows 11,intel,i5,0
ASUS,56990,16,512.0,SSD,39.62,Windows 11,intel,i5,0
HP,149990,24,1024.0,SSD,38.86,Windows 11,intel,i7,14
HP,54552,8,512.0,SSD,39.62,Windows 11,intel,i3,0
HP,54999,16,512.0,SSD,39.62,Windows 11,amd,ryzen 7,0
Acer,88408,16,512.0,SSD,39.62,Windows 11,amd,ryzen 7,0
Acer,104990,16,512.0,SSD,40.64,Windows 11,intel,i5,13
ASUS,37990,8,512.0,SSD,39.62,Windows 11,intel,i3,13
ASUS,58990,16,512.0,SSD,39.62,Windows 11,intel,i5,13
Lenovo,36890,8,512.0,SSD,39.62,Windows 11,amd,ryzen 3,0
Acer,38990,16,512.0,SSD,35.56,Windows 11,amd,ryzen 5,0
ASUS,58990,32,512.0,SSD,35.56,Windows 11,intel,i5,13
realme,37947,8,256.0,SSD,35.56,Windows 10,intel,i3,11
Lenovo,35499,8,512.0,SSD,39.62,Windows 11,amd,ryzen 3,0
Acer,59990,16,1024.0,SSD,35.56,Windows 11,intel,i5,0
HP,99990,16,1024.0,SSD,35.56,Windows 11,other,snapdragon,0
DELL,79990,16,512.0,SSD,35.56,Windows 11,intel,i5,0
ASUS,69990,32,512.0,SSD,39.62,Windows 11,intel,i5,0
Ultimus,15990,4,128.0,SSD,35.81,Windows,intel,other,0
Acer,57490,16,1024.0,SSD,39.62,Windows 11,intel,i5,12
ASUS,37990,8,512.0,SSD,35.56,Windows 11,intel,i3,13
ASUS,39990,16,512.0,SSD,39.62,Windows 11,intel,i3,13
ASUS,89990,16,512.0,SSD,35.56,Windows 11,other,snapdragon,0
Acer,84800,16,512.0,SSD,39.62,Windows 11,intel,i5,13
Acer,40990,24,512.0,SSD,39.62,Windows 11,intel,i3,13
Acer,72990,16,512.0,SSD,39.62,Windows 11,amd,ryzen 7,0
ASUS,56990,16,512.0,SSD,39.62,Windows 11,intel,i5,0
HP,149990,24,1024.0,SSD,38.86,Windows 11,intel,i7,14
ASUS,52990,16,512.0,SSD,40.64,Windows 11,other,snapdragon,0
ASUS,97990,16,512.0,SSD,40.64,Windows 11,intel,i5,0
ASUS,37990,8,512.0,SSD,39.62,Windows 11,intel,i3,13
ASUS,58990,16,512.0,SSD,39.62,Windows 11,intel,i5,13
Lenovo,76990,16,512.0,SSD,39.62,Windows 11,intel,i5,13
Acer,35790,8,512.0,SSD,35.56,Windows 11,amd,ryzen 5,0
HP,43899,8,512.0,SSD,39.62,Windows 11,amd,ryzen 5,0
Acer,119990,16,512.0,SSD,40.64,Windows 11,intel,i7,13
Acer,38990,16,512.0,SSD,35.56,Windows 11,amd,ryzen 5,0
ASUS,58990,32,512.0,SSD,35.56,Windows 11,intel,i5,13
Lenovo,53990,16,512.0,SSD,35.56,Windows 11,intel,i5,13
DELL,60549,16,1024.0,SSD,39.62,Windows 11,intel,i5,13
DELL,79990,16,512.0,SSD,35.56,Windows 11,intel,i5,0
ASUS,69990,32,512.0,SSD,39.62,Windows 11,intel,i5,0
Lenovo,36999,8,512.0,SSD,39.62,Windows 11,amd,ryzen 5,0
Lenovo,127990,16,1024.0,SSD,39.62,Windows 11,intel,i7,13
ASUS,35190,8,512.0,SSD,35.56,Windows 11,amd,ryzen 3,0
Samsung,173199,32,1024.0,SSD,40.64,Windows 11,intel,i7,0
ASUS,37990,8,512.0,SSD,35.56,Windows 11,intel,i3,13
ASUS,39990,16,512.0,SSD,39.62,Windows 11,intel,i3,13
HP,44730,8,512.0,SSD,39.37,Windows 11,amd,ryzen 3,0
Acer,32990,8,512.0,SSD,39.62,Windows 11,intel,budget,0
ASUS,56990,16,512.0,SSD,39.62,Windows 11,intel,i5,0
HP,149990,24,1024.0,SSD,38.86,Windows 11,intel,i7,14
DELL,39790,8,512.0,SSD,39.62,Windows 11,amd,ryzen 5,0
DELL,43990,8,512.0,SSD,39.62,Windows 11,intel,i3,13
realme,37947,8,256.0,SSD,35.56,Windows 10,intel,i3,11
ASUS,59990,16,512.0,SSD,39.62,Windows 11,intel,i5,0
ASUS,37990,8,512.0,SSD,39.62,Windows 11,intel,i3,13
ASUS,58990,16,512.0,SSD,39.62,Windows 11,intel,i5,13
ASUS,63990,16,512.0,SSD,35.56,Windows 11,intel,i5,13
ASUS,50990,16,512.0,SSD,35.56,Windows 11,amd,ryzen 7,0
Acer,38990,16,512.0,SSD,35.56,Windows 11,amd,ryzen 5,0
ASUS,58990,32,512.0,SSD,35.56,Windows 11,intel,i5,13
Acer,20990,8,512.0,SSD,35.56,Windows 11,intel,i3,11
ASUS,66990,16,512.0,SSD,35.56,Windows 11,intel,i7,13
MSI,47990,16,512.0,SSD,35.56,Windows 11,intel,i5,12
DELL,42990,8,512.0,SSD,38.1,Windows 11,intel,i3,0
ASUS,37990,8,512.0,SSD,35.56,Windows 11,intel,i3,13
ASUS,39990,16,512.0,SSD,39.62,Windows 11,intel,i3,13
Samsung,104199,16,512.0,SSD,39.62,Windows 11,intel,i5,0
MSI,109990,16,1024.0,SSD,33.78,Windows 11,intel,i5,1
ASUS,56990,16,512.0,SSD,39.62,Windows 11,intel,i5,0
HP,149990,24,1024.0,SSD,38.86,Windows 11,intel,i7,14
Acer,75990,16,512.0,SSD,39.62,Windows 11,intel,i5,12
DELL,42990,8,512.0,SSD,38.1,Windows 11,intel,i3,0
ASUS,52990,16,512.0,SSD,39.62,Windows 11,intel,i5,13
HP,99990,16,512.0,SSD,39.62,Windows 11,intel,i7,13
ASUS,37990,8,512.0,SSD,39.62,Windows 11,intel,i3,13
ASUS,58990,16,512.0,SSD,39.62,Windows 11,intel,i5,13
HP,86499,16,1024.0,SSD,35.56,Windows 11,intel,i5,13
ASUS,37999,16,512.0,SSD,17.78,Windows 11,amd,other,0
Acer,38990,16,512.0,SSD,35.56,Windows 11,amd,ryzen 5,0
ASUS,58990,32,512.0,SSD,35.56,Windows 11,intel,i5,13
Lenovo,67990,16,512.0,SSD,33.78,Windows 11,amd,ryzen 7,0
HP,50900,16,512.0,SSD,39.62,Windows 11,amd,ryzen 5,0
ASUS,72990,16,512.0,SSD,39.62,Windows 11,amd,ryzen 7,0
ASUS,37990,8,512.0,SSD,35.56,Windows 11,amd,ryzen 5,0
DELL,79990,16,512.0,SSD,35.56,Windows 11,intel,i5,0
ASUS,69990,32,512.0,SSD,39.62,Windows 11,intel,i5,0
ASUS,33999,4,512.0,SSD,35.56,Windows 10,intel,i3,8
HP,54400,16,512.0,SSD,39.62,Windows 11,intel,i5,12
ASUS,37990,8,512.0,SSD,35.56,Windows 11,intel,i3,13
ASUS,39990,16,512.0,SSD,39.62,Windows 11,intel,i3,13
ASUS,57339,8,512.0,SSD,39.62,Windows 11,intel,i5,12
ASUS,33999,4,256.0,SSD,35.56,Windows 10,intel,i3,10
DELL,41999,8,512.0,SSD,39.62,Windows 11,intel,i3,14
HP,55999,16,512.0,SSD,40.64,Windows 11,amd,ryzen 5,0
ASUS,56990,16,512.0,SSD,39.62,Windows 11,intel,i5,0
HP,149990,24,1024.0,SSD,38.86,Windows 11,intel,i7,14
ASUS,55990,16,512.0,SSD,39.62,Windows 11,intel,i5,12
ASUS,37990,8,512.0,SSD,39.62,Windows 11,intel,i3,13
ASUS,58990,16,512.0,SSD,39.62,Windows 11,intel,i5,13
ASUS,58999,8,512.0,SSD,39.62,Windows 11,intel,i5,11
ASUS,169990,16,1024.0,SSD,40.64,Windows 11,intel,i7,14
HP,80999,16,512.0,SSD,39.62,Windows 11,amd,ryzen 7,0
DELL,39990,8,512.0,SSD,39.62,Windows 11,amd,ryzen 5,0
Acer,38990,16,512.0,SSD,35.56,Windows 11,amd,ryzen 5,0
ASUS,58990,32,512.0,SSD,35.56,Windows 11,intel,i5,13
MSI,69890,16,512.0,SSD,39.62,Windows 11,intel,i7,11
DELL,79990,16,512.0,SSD,35.56,Windows 11,intel,i5,0
ASUS,69990,32,512.0,SSD,39.62,Windows 11,intel,i5,0
HP,35990,8,512.0,SSD,39.62,Windows 11,amd,ryzen 3,0
DELL,38990,8,512.0,SSD,35.56,Windows 11,intel,i3,13
ASUS,105990,16,1024.0,SSD,35.56,Windows 11,intel,i5,0
HP,40980,16,512.0,SSD,39.62,Windows 11,amd,ryzen 3,0
ASUS,37990,8,512.0,SSD,35.56,Windows 11,intel,i3,13
ASUS,56990,16,512.0,SSD,39.62,Windows 11,intel,i5,0
Infinix,73477,32,1024.0,SSD,39.62,Windows 11,intel,i7,13
HP,149990,24,1024.0,SSD,38.86,Windows 11,intel,i7,14
ASUS,39990,16,512.0,SSD,39.62,Windows 11,intel,i3,13
HP,49999,8,512.0,SSD,39.62,Windows 11,intel,i5,12
Lenovo,51490,16,512.0,SSD,35.56,Windows 11,intel,i5,12
ASUS,40990,8,512.0,SSD,39.62,Windows 11,amd,ryzen 5,0
MSI,42990,8,512.0,SSD,35.56,Windows 11,intel,i5,12
ASUS,37990,8,512.0,SSD,39.62,Windows 11,intel,i3,13
ASUS,58990,16,512.0,SSD,39.62,Windows 11,intel,i5,13
HP,35990,8,512.0,SSD,39.62,Windows 11,amd,ryzen 3,0
ASUS,169990,16,1024.0,SSD,40.64,Windows 11,intel,i7,14
ASUS,58990,32,512.0,SSD,35.56,Windows 11,intel,i5,13
DELL,79990,16,512.0,SSD,35.56,Windows 11,intel,i5,0
ASUS,35990,8,512.0,SSD,39.62,Windows 11,amd,ryzen 3,0
ASUS,35990,8,512.0,SSD,39.62,Windows 11,amd,ryzen 3,0
ASUS,65990,16,512.0,SSD,35.56,Windows 11,other,snapdragon,0
ASUS,55990,16,512.0,SSD,39.62,Windows 11,intel,i5,12
HP,159990,24,1024.0,SSD,38.86,Windows 11,intel,i7,14
Acer,38990,16,512.0,SSD,35.56,Windows 11,amd,ryzen 5,0
HP,42990,16,512.0,SSD,35.56,Windows 11,intel,i3,13
WINGS,37990,8,512.0,SSD,39.62,Windows 11,intel,i5,11
ASUS,37990,8,512.0,SSD,35.56,Windows 11,intel,i3,13
ASUS,39990,16,512.0,SSD,39.62,Windows 11,intel,i3,13
ASUS,35190,8,512.0,SSD,35.81,Windows 11,amd,ryzen 3,0
Lenovo,64990,16,512.0,SSD,38.86,Windows 11,intel,i5,0
HP,101999,16,512.0,SSD,35.56,Windows 11,intel,i7,0
ASUS,56990,16,512.0,SSD,39.62,Windows 11,intel,i5,0
HP,149990,24,1024.0,SSD,38.86,Windows 11,intel,i7,14
ASUS,69990,16,512.0,SSD,40.64,Windows 11,intel,i5,0
HP,33778,8,1024.0,HDD,35.56,Windows,amd,other,0
ASUS,37990,8,512.0,SSD,39.62,Windows 11,intel,i3,13
ASUS,58990,16,512.0,SSD,39.62,Windows 11,intel,i5,13
HP,54990,16,512.0,SSD,39.62,Windows 11,intel,i5,0
Lenovo,36890,8,512.0,SSD,39.62,Windows 11,amd,ryzen 3,0
ASUS,68990,16,512.0,SSD,39.62,Windows 11,intel,i7,13
Acer,38990,16,512.0,SSD,35.56,Windows 11,amd,ryzen 5,0
ASUS,58990,32,512.0,SSD,35.56,Windows 11,intel,i5,13
ASUS,42990,16,512.0,SSD,39.62,Windows 11,amd,ryzen 5,0
Lenovo,69990,24,1024.0,SSD,38.86,Windows 11,intel,i5,0
DELL,79990,16,512.0,SSD,35.56,Windows 11,intel,i5,0
ASUS,69990,32,512.0,SSD,39.62,Windows 11,intel,i5,0
Lenovo,41990,16,512.0,SSD,39.62,Windows 11,intel,i3,12
Lenovo,50990,16,512.0,SSD,35.56,Windows 11,intel,i5,12
MSI,63290,16,512.0,SSD,39.62,Windows 11,amd,ryzen 5,0
ASUS,37990,8,512.0,SSD,35.56,Windows 11,intel,i3,13
ASUS,39990,16,512.0,SSD,39.62,Windows 11,intel,i3,13
Infinix,46699,8,512.0,SSD,35.56,Windows 11,intel,i7,10
Infinix,68381,16,512.0,SSD,38.86,Windows 11,intel,i7,13
ASUS,56990,16,512.0,SSD,39.62,Windows 11,intel,i5,0
HP,149990,24,1024.0,SSD,38.86,Windows 11,intel,i7,14
HP,52490,8,512.0,SSD,35.56,Windows 11,intel,i5,14
Lenovo,76999,16,1024.0,SSD,40.64,Windows 11,intel,i5,13
Lenovo,125990,24,1024.0,SSD,39.62,Windows 11,amd,ryzen 7,0
ASUS,35915,8,512.0,SSD,35.56,Windows 11,amd,ryzen 3,0
ASUS,37990,8,512.0,SSD,39.62,Windows 11,intel,i3,13
ASUS,58990,16,512.0,SSD,39.62,Windows 11,intel,i5,13
Infinix,54990,16,512.0,SSD,39.62,Windows 11,intel,i5,13
ASUS,27990,8,512.0,SSD,39.62,Windows 11,intel,i3,10
Acer,38990,16,512.0,SSD,35.56,Windows 11,amd,ryzen 5,0
ASUS,58990,32,512.0,SSD,35.56,Windows 11,intel,i5,13
Lenovo,45990,24,512.0,SSD,35.56,Windows 11,intel,i3,13
HP,41990,8,512.0,SSD,39.62,Windows,amd,ryzen 5,0
HP,64990,16,512.0,SSD,35.56,Windows 11,intel,i5,12
Lenovo,178799,16,1024.0,SSD,33.78,Windows 11,intel,i7,13
ASUS,37990,8,512.0,SSD,35.56,Windows 11,intel,i3,13
ASUS,39990,16,512.0,SSD,39.62,Windows 11,intel,i3,13
Acer,48990,16,512.0,SSD,39.62,Windows 11,intel,i5,12
ASUS,56990,16,512.0,SSD,39.62,Windows 11,intel,i5,0
HP,149990,24,1024.0,SSD,38.86,Windows 11,intel,i7,14
HP,44990,16,512.0,SSD,39.62,Windows 11,intel,i3,13
ASUS,52980,16,512.0,SSD,39.62,Windows 11,intel,i5,13
HP,38539,8,512.0,SSD,35.56,Windows 11,amd,ryzen 5,7
ASUS,37990,8,512.0,SSD,39.62,Windows 11,intel,i3,13
ASUS,58990,16,512.0,SSD,39.62,Windows 11,intel,i5,13
DELL,68990,16,512.0,SSD,33.78,Windows 11,intel,i5,0
DELL,53990,8,512.0,SSD,39.62,Windows 11,intel,i5,13
Acer,38990,16,512.0,SSD,35.56,Windows 11,amd,ryzen 5,0
ASUS,58990,32,512.0,SSD,35.56,Windows 11,intel,i5,13
HP,40880,16,512.0,SSD,39.62,Windows 11,amd,ryzen 3,0
Lenovo,48999,8,512.0,SSD,35.56,Windows 11,intel,i5,12
DELL,39990,8,512.0,SSD,39.62,Windows 11,amd,ryzen 5,0
MSI,45899,16,512.0,SSD,39.62,Windows 11,intel,i5,12
DELL,79990,16,512.0,SSD,35.56,Windows 11,intel,i5,0
ASUS,69990,32,512.0,SSD,39.62,Windows 11,intel,i5,0
Lenovo,36999,8,512.0,SSD,39.62,Windows 11,amd,ryzen 5,0
ASUS,33499,8,512.0,SSD,39.62,Windows 11,intel,i3,12
ASUS,37990,8,512.0,SSD,35.56,Windows 11,intel,i3,13
ASUS,39990,16,512.0,SSD,39.62,Windows 11,intel,i3,13
MSI,67500,16,512.0,SSD,39.62,Windows 11,intel,i5,13
ASUS,36990,8,512.0,SSD,35.56,Windows 11,intel,i3,13
Lenovo,35990,8,512.0,SSD,35.56,Windows 11,intel,i3,12
Infinix,73199,16,512.0,SSD,39.62,Windows 11,intel,i7,12
ASUS,56990,16,512.0,SSD,39.62,Windows 11,intel,i5,0
HP,149990,24,1024.0,SSD,38.86,Windows 11,intel,i7,14
HP,93999,16,512.0,SSD,39.62,Windows 11,intel,i7,12
ASUS,37990,8,512.0,SSD,39.62,Windows 11,intel,i3,12
ASUS,37990,8,512.0,SSD,39.62,Windows 11,intel,i3,13
ASUS,58990,16,512.0,SSD,39.62,Windows 11,intel,i5,13
Lenovo,78990,24,512.0,SSD,39.62,Windows 11,intel,i5,13
Acer,59990,16,1024.0,SSD,35.56,Windows 11,intel,i5,0
Samsung,127990,16,512.0,SSD,40.64,Windows 11,intel,i7,0
DELL,37990,8,512.0,SSD,39.62,Windows 11,intel,i3,13
Acer,38990,16,512.0,SSD,35.56,Windows 11,amd,ryzen 5,0
ASUS,58990,32,512.0,SSD,35.56,Windows 11,intel,i5,13
Acer,59990,16,1024.0,SSD,39.62,Windows 11,intel,i7,12
HP,35990,8,256.0,SSD,39.62,Windows 11,amd,other,0
DELL,79990,16,512.0,SSD,35.56,Windows 11,intel,i5,0
ASUS,69990,32,512.0,SSD,39.62,Windows 11,intel,i5,0
Acer,57990,16,512.0,SSD,35.56,Windows 11,intel,i5,13
HP,38800,8,512.0,SSD,39.62,Windows 11,amd,ryzen 3,0
Lenovo,39800,8,512.0,SSD,39.62,Windows 11,amd,ryzen 3,0
DELL,44990,16,512.0,SSD,39.62,Windows 11,intel,i3,13
ASUS,37990,8,512.0,SSD,35.56,Windows 11,intel,i3,13
ASUS,39990,16,512.0,SSD,39.62,Windows 11,intel,i3,13
HP,38891,8,512.0,SSD,39.62,Windows 11,amd,ryzen 3,0
Lenovo,84799,16,1024.0,SSD,35.56,Windows 11,intel,i7,13
ASUS,56990,16,512.0,SSD,39.62,Windows 11,intel,i5,0
HP,149990,24,1024.0,SSD,38.86,Windows 11,intel,i7,14
ASUS,39990,8,512.0,SSD,35.56,Windows 11,intel,i3,11
Acer,75666,16,512.0,SSD,39.62,Windows 11,intel,i7,13
ASUS,64990,16,512.0,SSD,39.62,Windows 11,intel,i5,12
DELL,64990,16,512.0,SSD,39.62,Windows 11,intel,i5,13
ASUS,37990,8,512.0,SSD,39.62,Windows 11,intel,i3,13
ASUS,58990,16,512.0,SSD,39.62,Windows 11,intel,i5,13
ASUS,47990,8,512.0,SSD,39.62,Windows 11,intel,i5,0
Lenovo,48999,8,512.0,SSD,35.56,Windows 11,intel,i5,12
Acer,38990,16,512.0,SSD,35.56,Windows 11,amd,ryzen 5,0
ASUS,58990,32,512.0,SSD,35.56,Windows 11,intel,i5,13
HP,73799,16,512.0,SSD,39.62,Windows 11,amd,ryzen 7,0
HP,38790,8,512.0,SSD,39.62,Windows 11,intel,i3,13
ASUS,27990,8,512.0,SSD,39.62,Windows 11,intel,i3,10
ASUS,42990,16,512.0,SSD,39.62,Windows 11,amd,ryzen 5,0
DELL,79990,16,512.0,SSD,35.56,Windows 11,intel,i5,0
ASUS,69990,32,512.0,SSD,39.62,Windows 11,intel,i5,0
DELL,39490,8,256.0,SSD,39.62,Windows 11,amd,ryzen 3,0
Lenovo,79990,16,1024.0,SSD,35.56,Windows 11,intel,i5,0
ASUS,37990,8,512.0,SSD,35.56,Windows 11,intel,i3,13
ASUS,56990,16,512.0,SSD,39.62,Windows 11,intel,i5,0
Lenovo,48990,8,512.0,SSD,35.56,Windows 11,intel,i5,13
Lenovo,83990,16,512.0,SSD,35.56,Windows 11,intel,i7,13
Acer,55999,8,512.0,SSD,39.62,Windows 11,intel,i5,12
HP,40490,8,512.0,SSD,35.56,Windows 11,intel,i3,0
ASUS,39990,16,512.0,SSD,39.62,Windows 11,intel,i3,13
ASUS,37990,8,512.0,SSD,39.62,Windows 11,intel,i3,13
HP,35990,8,256.0,SSD,39.62,Windows 11,amd,other,0
HP,113320,16,1024.0,SSD,39.62,Windows 11,amd,ryzen 7,0
ASUS,58990,16,512.0,SSD,39.62,Windows 11,intel,i5,13
Acer,38990,16,512.0,SSD,35.56,Windows 11,amd,ryzen 5,0
WINGS,42990,16,512.0,SSD,35.56,Windows 11,intel,i7,11
DELL,131990,16,1024.0,SSD,39.62,Windows 11,intel,i7,13
ASUS,58990,8,512.0,SSD,39.62,Windows 11,intel,i5,12
ASUS,58990,32,512.0,SSD,35.56,Windows 11,intel,i5,13
DELL,79990,16,512.0,SSD,35.56,Windows 11,intel,i5,0
HP,38990,8,512.0,SSD,35.56,Windows 11,amd,ryzen 5,0
MICROSOFT,111102,16,256.0,SSD,30.48,Windows 11,other,snapdragon,0
ASUS,69990,32,512.0,SSD,39.62,Windows 11,intel,i5,0
ASUS,69990,16,512.0,SSD,39.62,Windows 11,intel,i7,0
DELL,42990,8,512.0,SSD,39.62,Windows 11,intel,i3,13
DELL,37900,8,512.0,SSD,35.56,Windows 11,intel,i3,13
HP,117000,16,1024.0,SSD,40.89,Windows 11,intel,i7,14
DELL,55990,8,512.0,SSD,39.62,Windows 11,intel,i5,12
HP,149990,24,1024.0,SSD,38.86,Windows 11,intel,i7,14
DELL,44990,16,512.0,SSD,39.62,Windows 11,intel,i3,13
ASUS,69897,16,512.0,SSD,39.62,Windows 11,intel,i7,13
MSI,129990,16,1024.0,SSD,39.62,Windows 11,intel,i7,0
DELL,54490,16,512.0,SSD,39.62,Windows 11,intel,i5,13
HP,63990,16,512.0,SSD,40.64,Windows 11,intel,i5,13
HP,56999,8,512.0,SSD,39.62,Windows 10,intel,i5,11
ASUS,58990,16,512.0,SSD,35.56,Windows 11,other,snapdragon,0
ASUS,34899,4,256.0,SSD,39.62,Windows 10,intel,other,0
HP,45895,16,512.0,SSD,39.62,Windows 11,intel,i3,13
HP,159990,24,1024.0,SSD,38.86,Windows 11,intel,i7,14
Lenovo,79990,16,512.0,SSD,39.62,Windows 11,intel,i7,0
HP,39780,8,512.0,SSD,39.62,Windows 11,amd,ryzen 5,0
DELL,69990,16,512.0,SSD,39.62,Windows 11,intel,i7,13
